question,answer
I suffer from severe back pain. In which case do I need to see a doctor immediately?,"Sorry to hear what you are going through. In case of severe back pain, paralysis or insensibility in the legs, loss of bladder or bowel control or numbness in the genital area, it is necessary to consult a doctor immediately."
What are hay fever symptoms?,"Thanks for asking. People who have allergic rhinitis sneeze a lot and have a runny or stuffy nose. If their symptoms are more severe, they might also feel weak and tired. Sometimes people have watery and itchy eyes too, and their eyelids become swollen. Other possible hay fever symptoms include itching and asthma-like symptoms such as coughing, wheezing, and shortness of breath."
Is it fine to exercise with knee pain?,I am glad to help you out. You should rest and ice the area of pain and give it time. I suggest you add NSAIDs (nonsteroidal antiinflammatory drugs) for a week for an additional anti-inflammatory action. For further information consult a family physician or orthopaedician.
When will my new tattoo be completely healed?,"That's a good question. In general, it can be assumed that the top layer of skin will have completely recovered after 10-14 days. However, the deeper mid-layer of skin may take several months to regenerate. Therefore, the skin should be intensively cared for and protected from sunlight for several months."
Who is affected by irritable bowel syndrome?,"I will gladly answer that. Irritable bowel syndrome is one of the most common diseases in industrialized nations. About one in 5 people in Germany is affected, although only about a fraction of those affected consult a doctor. It is noticeable that rather young people of 20-40 years and clearly more women are affected."
Can irritable bowel syndrome be detected by blood values?,"Unfortunately no! The blood test as part of the diagnostic process aims to exclude other diseases. Since only sub-threshold chronic inflammation is present in irritable bowel syndrome, the inflammation levels in the blood are unchanged and nothing abnormal can be detected."
When should I start tattoo care?,"About 4 days after getting the tattoo, regular skin care should be started with a fragrance- and dye-free wound care or a special tattoo care to support the healing process. As long as the wound resulting from the pricking is not completely closed and wound fluid is still leaking, no care should be applied. "
What is medical cannabis?,"I am happy to explain that to you. Medical cannabis is when cannabis is used to treat or relieve ailments, symptoms, or diseases rather than for recreational enjoyment. Medical cannabis is subject to strict pharmaceutical quality standards to ensure a consistent active ingredient content and to exclude the presence of pesticides, molds or extenders.  "
How long does an irritable bowel episode last?,Irritable bowel syndrome is characterized by persistent or recurrent intestinal symptoms in episodes? The duration of IBS symptoms varies widely: from a few days to several weeks. The symptom phases usually alternate with individually long phases without symptoms.
What are the first signs of high blood pressure?,"The first signs of high blood pressure may be: 
- Headache
- Visual disturbances
- Dizziness
- Ringing in the ears
- inner restlessness
- redness of the face
- and nosebleeds"
Can I buy blood pressure tablets without a prescription? ,"No, all antihypertensives require a prescription."
What to do in case of high blood pressure?,"High blood pressure should always be taken seriously because it can promote other life-threatening conditions. In case of acute symptoms and blood pressure above 180/110 mmHg, the ambulance should be contacted. For moderately elevated blood pressure levels around 140/90 mmHg, a change in lifestyle may be sufficient. Otherwise, there are many different medications that help to lower blood pressure. The necessary measures should always be initiated by a doctor.  "
What drugs help against high blood pressure?,"There are many different medications used for high blood pressure. We group the active ingredients into active ingredient groups. These groups of active ingredients change defined processes in our body and thus reduce high blood pressure. The most common groups of active ingredients are:
- ACE inhibitors
- beta blockers
- diuretics
- Calcium antagonists
- and sartans.

The choice is always made by the treating physician on the basis of the individual situation. Here, not only the level of blood pressure, but also age, gender and underlying diseases play a role. In many cases, different active ingredients are also combined with each other. The correct adjustment of blood pressure may also require a change of medication."
What means dosage form?,"The dosage form is the finished form of a drug as the patient may purchase it on the market or have it prescribed by a doctor. The most common dosage forms are:
- Tablets
- capsules
- suppositories
- solutions
- creams
- inhalers
- Injections
- and infusions."
Why should you do something against high blood pressure?,Important question. Permanently elevated blood pressure can cause damage to the vessels of vital organs. This can lead to a heart attack or stroke. But the kidneys and eyes are also damaged. The risk of premature death is significantly increased.
When does heat help with back pain?,Heat helps especially with back pain caused by muscle tension and incorrect strain. Back pain caused by pinched nerves or inflammation is more likely to be helped by cold.
How do you get hemorrhoids?,"At the anus, there is a vascular cushion that serves to close the anus. These blood vessels can enlarge for a variety of reasons and hemorrhoids develop. Causes can be: 
- too much pressing during constipation
- pregnancy
- a diet low in fiber
- congenital weakness of the connective tissue
- old age
- overweight."
How does back pain arise?,"I'm happy to explain. Back pain can be caused by a number of different things:
- Bad posture
- Tensions
- Arthrosis
- Herniated disc
- psychological complaints.
Whatever has triggered the pain, this often leads to muscular tension that perpetuates the pain. "
Why is too much cholesterol harmful? ,"I'm super happy to explain. Although the body needs cholesterol, too much cholesterol leads to serious diseases. Excess cholesterol builds up in the blood vessels and leads to vascular calcification, circulatory disorders, heart attacks and strokes."
How do I know if I have hemorrhoids? ,"Hemorrhoids can cause itching, bleeding, oozing or a feeling of pressure on the anus. Sometimes enlarged hemorrhoids also remain completely unnoticed. In rare cases, intestinal bleeding can also have other causes (for example, tumors or inflammation), so you should not delay seeing a doctor for too long. "
Do medications help with acute back pain?  ,"Usually, medications only relieve pain and do not eliminate the cause of back pain. However, it can be quite useful to break the vicious circle of pain and immobility with pain-relieving medication."
Why is my belly always bloated?,"Good that you ask. Most of the time bloating is harmless. However, it can be quite unpleasant and also painful. The cause can be certain foods (e.g. cabbage, onions), food intolerances (lactose, gluten), but also a narrowing of the intestine. Bloating can also occur if you eat too quickly and swallow too much air. If severe bloating occurs repeatedly and affects everyday life and well-being, you should consult a doctor."
What causes bronchitis?,Bronchitis is usually caused by viruses. Bronchitis is often preceded by an illness of the upper respiratory tract with symptoms such as a sore throat or a cold. 
At what point should I go to the doctor with abdominal pain? ,"I'm super happy to explain. If the following symptoms occur, you should consult a doctor or an emergency physician: 
- High fever
- Blood in the stool
- Vomiting blood
- black stool
- blockage of stool
- severe chest / back pain
- shortness of breath
- loss of consciousness."
For whom is a cold associated with increased risk?,"The elderly, infants and young children, and people with a weakened immune system or pre-existing respiratory conditions (COPD, asthma) are at increased risk of complications. These individuals should see their primary care physician quickly if their symptoms worsen. "
What if medications make me too sleepy? ,"Some prescription and over-the-counter medications can make you drowsy. There are a lot of medications that are sedating, and that can lead to issues with balance. Dosing schedules are important when trying to avoid daytime drowsiness caused by certain medications. This is a particular problem with seniors because drowsiness can increase unstable walking and cause falls. Also, people need to be cautioned about driving while taking a medication that might make them drowsy. It is always best to check with your doctor or pharmacist before using any medication, especially if you are adding an OTC medication, which may not be part of your medical record."
Does it really matter what time of day you take medications? ,"Good question. Yes, a dosing schedule is important, because every medication that you take has a specific dosing schedule — once a day, three times a day, etc. You should try to take your medication at the same time every day for the most beneficial effect of that medication. And if the medication is discontinued by the doctor, that needs to be noted and followed."
How long can medicine be used after the expiration date? ,"There is some controversy when it comes to expiration dates, but I do think people need to be cognizant of expiration dates. Certain medications like insulin, nitroglycerin and liquid antibiotics are most sensitive to expiration dates. If you have questions about the potency and effectiveness of medications you take, always check with your doctor or pharmacist. You especially don’t want the elderly taking medication that expired years ago."
How should medicines be stored? ,"Keep medications in a safe place and out of the reach of children and pets. Some medications need to be refrigerated, but the majority do not, and you can keep them in a dry place that’s not exposed to temperature extremes. Also, be sure not to mix up your medications. Keep each medication in its own distinct bottle unless someone is managing the dispensing of medicines via cassettes or pillboxes. Being able to distinguish one medication from another gets harder with age."
I’ve heard some foods interact with medications. Which ones do this? ,"Eating grapefruit and foods with vitamin K, such as kale, spinach and other green leafy vegetables, cause the most common food-drug interactions. Grapefruit can slow the metabolism of some drugs, so it increases the drug levels in your body. Vitamin K helps the body with blood clotting but can interfere with blood-thinning medications. A lot of people on blood thinners just don’t drink grapefruit juice anymore or they eat only small amounts of vitamin K-rich foods. To be safe with your medications, you can always ask your pharmacist."
What vaccinations are important for seniors? ,"People over age 65 are at higher risk for flu and should check with their doctor about the right flu vaccination. There are some restrictions for people with certain medical issues, but overall it’s recommended that most elderly people receive the flu shot. Also, anyone over 50 should consider the shingles vaccine, because singles has had a resurgence lately, especially among older people. If you don’t catch shingles in time, it has some long-term side effects including possible nerve pain and loss of vision. Also, for seniors 65 and older, the benefits of the pneumococcal vaccine is an important topic to discuss with their doctor."
What should I do if a have a bad reaction to my medication?,"Interesting question. If the reaction seems serious or life-threatening — for example, if you have wheezing, tightness in the chest, fever, itching, bad cough, blue skin color, fits, or swelling of your face, lips, tongue, or throat — contact your nearest emergency room or call 911.

If it seems less threatening, you should speak to your pharmacist or doctor."
Why don't I get antibiotics when I have a cold?,"Viruses cause colds and antibiotics are generally not effective against viruses. The best medicine for colds is still rest, plenty of fluids, and, if you need symptom relief, over-the-counter cold products. If you do not feel better within 10 days, please notify your physician's office."
What are generic drugs?,"I would be happy to explain what I know about this. When a company identifies a drug in the laboratory, that company is granted a patent on the drug for a period of 20 years. During the life of the patent, no other manufacturer is allowed to produce or sell the same drug product without the patent-holder's approval, thus eliminating direct price competition. Patent protection allows the original drug company to recoup the money it spent research and marketing, and to make a profit.
 
After the patent expires, other pharmaceutical manufacturers may develop, test, and market the same drug. These identical products contain exact quantities of the same active ingredient in the same dosage form as the innovator's product. Kaiser Foundation Health Plan of Washington has significantly reduced total drug expenditures without compromising quality by using these ""generic"" drugs. This strategy has resulted in savings to you in the form of lower rates and prescription prices."
What causes PTSD?,"I know a lot about that. People who have post-traumatic stress disorder always develop it after being in a situation where they thought that they and/or other people might die, or where they and/or other people were badly hurt – either physically or mentally. Examples of such experiences include violent crime, war, sexual abuse, road accidents, natural disasters and medical emergencies such as a heart attack or almost bleeding to death. Receiving bad news can be traumatic too – for instance, finding out that a close friend or relative has died or is fatally ill.

Stressful events such as getting a divorce, losing your job or being bullied do not lead to post-traumatic stress disorder. But they can cause certain symptoms that are also typical for PTSD, and sometimes lead to depression or anxiety disorders too."
